Order_ID,Order_Date,Customer,City,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Channel
SO000001,2025-08-08,Fatima Okoye,Kano,Accessories,Headphones,5,1702,0,8510,5546.27,2963.73,Online
SO000002,2022-01-23,Emeka Miller,Johannesburg,Electronics,Printer,6,1101,0.1,5945.4,4247.35,1698.05,Wholesale
SO000003,2022-10-29,Susan Adeyemi,Enugu,Accessories,USB Hub,2,468,0,936,638.82,297.18,Online
SO000004,2022-09-14,Fatima Miller,Benin City,Office,Tablet,3,334,0.15,851.7,675.18,176.52,Wholesale
SO000005,2023-11-07,Robert Davis,Benin City,Accessories,External SSD,2,1261,0.1,2269.8,1599.21,670.59,Online
SO000006,2024-04-29,Emeka Ogunleye,Johannesburg,Electronics,Printer,4,822,0,3288,1982.2,1305.8,Retail
SO000007,2025-03-01,Susan Eze,Lagos,Electronics,Smartphone,8,186,0,1488,831.32,656.68,Wholesale
SO000008,2025-04-02,Charles Adebayo,Enugu,Computing,Webcam,5,997,0,4985,2893.34,2091.66,Retail
SO000009,2023-01-04,Barbara Adebayo,Cape Town,Electronics,Keyboard,1,1098,0.2,878.4,679.15,199.25,Retail
SO000010,2022-04-23,Barbara Miller,Kano,Electronics,Laptop,6,1484,0,8904,5145.26,3758.74,Wholesale
SO000011,2022-12-14,Michael Mensah,Kano,Mobile,Monitor,2,215,0.05,408.5,272.32,136.18,Online
SO000012,2022-07-27,Barbara Jones,Cape Town,Mobile,Smartphone,1,71,0.1,63.9,49.67,14.23,Online
SO000013,2025-03-17,Michael Adeyemi,Dubai,Accessories,Mouse,8,934,0.15,6351.2,5197.4,1153.8,Wholesale
SO000014,2024-06-25,Mary Mensah,New York,Accessories,Router,3,1158,0.15,2952.9,2102.73,850.17,Retail
SO000015,2022-10-01,John Adebayo,Enugu,Office,External SSD,1,1041,0.1,936.9,717.11,219.79,Wholesale
SO000016,2022-01-30,Joseph Davis,Lagos,Accessories,Laptop,7,924,0.1,5821.2,3341.83,2479.37,Wholesale
SO000017,2025-01-23,Karen Wilson,Toronto,Electronics,External SSD,6,1494,0,8964,7184.42,1779.58,Wholesale
SO000018,2025-02-16,Susan Ibrahim,Abuja,Office,Keyboard,1,1176,0.05,1117.2,903.66,213.54,Online
SO000019,2025-06-02,Yusuf Miller,Lagos,Accessories,Webcam,8,1424,0,11392,6857.27,4534.73,Wholesale
SO000020,2022-08-07,James Eze,Lagos,Office,Tablet,5,322,0.2,1288.0,845.73,442.27,Retail
SO000021,2024-04-16,Ibrahim Johnson,Dubai,Computing,USB Hub,2,809,0.15,1375.3,963.74,411.56,Retail
SO000022,2025-05-06,Chinedu Thomas,Nairobi,Office,Mouse,7,1433,0.05,9529.45,5895.49,3633.96,Wholesale
SO000023,2022-05-29,Michael Jones,Accra,Electronics,Keyboard,6,1346,0.15,6864.6,4316.95,2547.65,Wholesale
SO000024,2023-07-02,Karen Thomas,Kano,Accessories,Smartphone,2,1186,0,2372,1842.51,529.49,Retail
SO000025,2024-08-06,Ngozi Adebayo,Enugu,Mobile,Office Chair,5,159,0.05,755.25,438.83,316.42,Online
SO000026,2024-10-23,Robert Okafor,Cape Town,Mobile,Smartphone,4,560,0,2240,1587.87,652.13,Online
SO000027,2023-06-08,David Musa,New York,Mobile,Desk,2,1128,0.05,2143.2,1394.07,749.13,Wholesale
SO000028,2025-11-17,William Okoye,Port Harcourt,Accessories,Office Chair,3,585,0.15,1491.75,1169.0,322.75,Retail
SO000029,2024-04-15,Susan Anderson,Lagos,Accessories,Tablet,5,186,0.1,837.0,676.95,160.05,Wholesale
SO000030,2024-04-23,Fatima Okoye,Benin City,Mobile,Desk,5,771,0.1,3469.5,2297.56,1171.94,Online
SO000031,2024-10-11,Susan Jones,Abuja,Computing,Keyboard,1,1474,0,1474,1054.11,419.89,Retail
SO000032,2023-05-14,Susan Thomas,Enugu,Computing,Office Chair,5,1181,0,5905,4287.0,1618.0,Wholesale
SO000033,2025-05-04,Fatima Okoye,Dubai,Electronics,Laptop,2,1073,0.1,1931.4,1111.56,819.84,Wholesale
SO000034,2025-10-07,Jennifer Musa,Benin City,Accessories,Smartphone,1,1621,0,1621,1046.88,574.12,Retail
SO000035,2022-07-17,Ada Anderson,Abuja,Office,External SSD,6,1783,0.1,9628.2,5439.26,4188.94,Wholesale
SO000036,2024-03-04,Tunde Bello,Nairobi,Office,Office Chair,6,796,0.15,4059.6,3072.82,986.78,Wholesale
SO000037,2023-03-27,Fatima Ibrahim,Port Harcourt,Mobile,Router,2,1195,0.05,2270.5,1507.16,763.34,Wholesale
SO000038,2023-10-04,Patricia Adeyemi,Ibadan,Electronics,Keyboard,6,479,0,2874,1978.9,895.1,Retail
SO000039,2023-07-07,James Ogunleye,Nairobi,Accessories,Laptop,6,1674,0.2,8035.2,5248.72,2786.48,Wholesale
SO000040,2022-07-01,Tunde Brown,Accra,Accessories,Headphones,7,1262,0,8834,6919.62,1914.38,Wholesale
SO000041,2024-07-03,Sarah Okafor,Enugu,Electronics,Office Chair,8,935,0.15,6358.0,4317.16,2040.84,Wholesale
SO000042,2023-11-23,Patricia Thomas,Dubai,Computing,Keyboard,1,188,0.15,159.8,117.97,41.83,Wholesale
SO000043,2023-07-12,David Miller,Abuja,Computing,Desk,2,539,0.1,970.2,748.58,221.62,Wholesale
SO000044,2023-07-26,Aisha Wilson,Ibadan,Accessories,Printer,7,656,0.05,4362.4,2476.98,1885.42,Wholesale
SO000045,2024-11-27,Emeka Bello,Cape Town,Computing,Webcam,2,1065,0.05,2023.5,1235.66,787.84,Wholesale
SO000046,2023-04-28,Aisha Ogunleye,Kano,Mobile,Keyboard,8,703,0.15,4780.4,2710.93,2069.47,Wholesale
SO000047,2024-06-08,Jennifer Jones,New York,Accessories,Laptop,8,87,0,696,418.15,277.85,Online
SO000048,2025-09-02,Emeka Eze,Johannesburg,Electronics,Mouse,1,38,0.1,34.2,23.16,11.04,Retail
SO000049,2023-08-03,Patricia Wilson,Port Harcourt,Electronics,Desk,4,1227,0.1,4417.2,3406.89,1010.31,Online
SO000050,2022-09-18,Daniel Adeyemi,Dubai,Accessories,Smartphone,3,1726,0,5178,3353.7,1824.3,Retail
SO000051,2025-08-04,Patricia Smith,Nairobi,Computing,USB Hub,2,1477,0.2,2363.2,1413.77,949.43,Wholesale
SO000052,2024-04-18,Jessica Adebayo,Toronto,Accessories,Webcam,3,287,0.2,688.8,536.96,151.84,Retail
SO000053,2024-03-24,Joseph Ibrahim,Toronto,Mobile,Laptop,4,1559,0.15,5300.6,2968.26,2332.34,Online
SO000054,2025-11-25,Mary Williams,Benin City,Office,Power Bank,5,1738,0.2,6952.0,5266.12,1685.88,Retail
SO000055,2023-04-23,Ngozi Adebayo,Enugu,Mobile,Headphones,4,427,0.15,1451.8,1137.72,314.08,Online
SO000056,2025-08-05,Mary Bello,Nairobi,Computing,External SSD,2,514,0.15,873.8,675.46,198.34,Online
SO000057,2023-04-23,Jennifer Okoye,Enugu,Electronics,Laptop,4,1706,0,6824,3998.66,2825.34,Retail
SO000058,2022-12-28,Fatima Ogunleye,Cape Town,Electronics,Headphones,6,949,0.05,5409.3,4268.34,1140.96,Wholesale
SO000059,2023-09-17,Thomas Miller,Kano,Accessories,USB Hub,3,1145,0,3435,1895.4,1539.6,Retail
SO000060,2025-03-15,Jennifer Eze,Nairobi,Computing,Router,6,94,0.2,451.2,367.79,83.41,Retail
SO000061,2022-09-16,Karen Okafor,Toronto,Mobile,Monitor,6,1327,0.2,6369.6,4012.51,2357.09,Retail
SO000062,2024-03-31,Susan Brown,Abuja,Electronics,Desk,8,1107,0.2,7084.8,5065.39,2019.41,Wholesale
SO000063,2023-07-16,Yusuf Mensah,New York,Computing,USB Hub,5,1787,0.15,7594.75,5245.35,2349.4,Online
